cleaned_tweet,label
በመፅሀፈ ጨዋታ መሰናዶ ያየሁት ተመቸኝ ቃለ መጠይቅ የተካሄበት ቦታ ላይብረሪ ይመስለኛል ተሰንደው በተደረደሩ ጋዜጦች የተሞላ ለምሳሌ አዲስ ዘመን ሪፖርተር ፎርቹን አዲስ አድማስ ጋዜጦች ተሰንደው ተመልክቻለሁ,1
ድሮ በዘመነ ኮዳክ ፎቶ ቤት ፍላሹ ፏ ሲል አይናችን ተጨፍኖ እንዳይወጣ የምንቸክለውን ነገር አስታወሰኝ ከሗላ ያለው ቴዲ ፊቱን አዞረ እኮ,0
ዠልጥ ገገማ,0
ታቦተ ህጉ ለእግዚአብሄር በካህናታ ህፅርት ወበመንፈስቅዱስ ክልልት ንጉስኪ ፅዮን ኢይትመዋእ ለፀር ወኢየሀድጋ ለሀገር በካህናት የተከበብሽ በመንፈስ ቅዱስ የተከለልሽ የእግዚአብሄር ታቦተ ህግ ፅዮን ንጉስሽ ለጠላት አይሸነፍም ሀገርንም አይተዉም,1
ብጄ አሳምነው ፅጌ ከምክትል ጠሚ ደመቀ በሱዳን ጉብኝት አልበሽር ያሉትን ለተመስገን እንደነገረውኢትዮጵያ ለእኛ ጥሩ ጎረቤታችን ከህወሀት ቤተሰብ ነን,1
ትልልቅ የነዳጅ ፍጆታ ያላቸው ተሽከርካሪዎች ከአየር ብክለት አኳያ በነዳጅ ወጪም ተለይተው ኤክሳይዝ ታክሱ ሊጣልባቸው እንደሚገባ በሊትር ኪሎ ሜትር በሚነዱት የተለየ አተያይ እንዲኖር ጠይቀዋል,1
እሺ ወንድሜ እተከላለሁ ማኛ እኮ ወዳታለሁ ደሞ ቅና አሉህ,1
ይቺን አውቆ ዶር አብይ ክርስቲያን የሆነዋኧረ ጀንፈሉ እንጣጥ እንጣጥ ዋዋዋ,1
ሰው የፈለገውን የመሆን መብት ቢኖረውም መብቱ የሚወሰነው በሚኖርበት ሀገር ህጉ ማኖር ሲችል ከመብት ከእኩልነት አይገናኝም ከህግ,1
እናማ ልሙጡ ባንዴራን ለቤተክርስትያኒቷ አስረክባቹ በመሆን በተሻለ መንገደ ሰለማዊና የተረጋጋ ክልል በመፍጠር ሰርታቹ አሳዩን ተዛ ለሚመጣ የውጭ ወራሪጠላት አብረን ንቆማለን,1
ሳያችሁ ሶስተኛው የአለም ጦርነት ጉዳይን ከመጤፍም አልቆጠራችሁትም,1
ብድር በምድር መሆኑ ከሆነ ተገቢ ከዚህ በፊት ስንቃወም የነበረው ይህንንም አልነበር ታድያ ጉልቻ ቢቀየር ሆኗል ነገሩ ማለት ነዋ ሀገሬ ደጉን ያምጣልን እንላለን,1
ለውጡን ያለመው የኦሮሚያ ባለሀብቶች ውይይት,1
የሀገሩን ችግር የሚያውቅ መፍትሄ የሚያመጣ በትክክል የሀገሩ ሰው ይቺ ወጣት ለእንጀራ መጋገር የሚያስፈልገውን አብሲት በተለየና በቀለለ በማዘጋጀት ለእናቶቻችን ውለታ ውላለች ከሰይፉ በኢቢኤስ,2
ማንም ምንም አያውቅምእና ማንም ሁሉን ያውቃልአይባልም,1
ለመጥለቅ ወሳኝ ነገር ያስፈልጋል ልያታይ ጥስው ዶረበ ፅርቅ ድንአ ምንም ሳይነሱ ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ,0
ስውር ህዝብም ጭምር የሰዉ ሂሉን እሺ ብሎ መቻል ሚገርመኝ,1
የሀይማኖት መሪዎች ለክርስትና እምነት ተከታዮች የእንኳን አደረሳችሁ መልእክት አስተላለፉ,2
አዲሱ የአቶ ሬድዋን ሁሴን ሹመትመንታ መንገድ የቆመው የስልጤ ህዝብ ምርጫ እመለስባታለው ጠብቁኝ,1
መጀመሪያ ቃል ነበረ ቃልም በቀለም ተቀናበረ ቃልና ቀለም በተግባር ኖረ መእራፉን ጨርሶ ቋጠረ,2
የቤት ጥቃት – ያለሰሚ – ያለተመልካች,0
ሪፖርት ፈረሰኞቹ ምአም አናብስትን በመርታት አሸናፊነት ተመልሰዋል,1
የህወሀት ማእከላዊ ኮሚቴ አባል አቶ ጌታቸው ረዳ በድምፂ ወያነ ቴሌቪዥን ህወሀት ቀጣይ እጣ ፈንታ ተናግረዋል እየተባለ በማህበራዊ ሚዲያ የሚሰራጨው ዜና ሀሰተኛ,1
ኤርትራውያን ስነ ጥበበኛታት ንናይ ጎደና ስነጥበብ ክንደፍአሉ ይግባእ ንዘሎና ሀብታም ታሪኽ ብቕርፃ ብቕብአን ስነ ፅሁፍን ክንትርሆ አሎና ነፍሲ ወከፍ ጎደና ታሪኽ ክንስንደሉ ዝኽእል እዩ,2
ካሳዬ ስምንተኛ ክፍልን ዘልቋል ብለን የሾምነው መልሱ እኮ እዛው በቀይ ያሰመርከው አለ ከጊዜው ነባራዊ ሁኔታ ሊያራምዳቸው አለቀ,1
ሀገር አቀፍ ብሄራዊ የሴቶች የሰላም ምክር ቤት ተቋቋመ,2
ሰአት የቴሌቭዥን መርሀግብሩ ተጀምሯልከዮድ አቢሲንያ የማብሰርያ ዝግጅት አለ,2
የነዚህን ወሬ አራጋቢ,0
ያንተ የበታችነት ስሜት ማንም አክራሪ ሰክሮ እየመጣ መስጂድህን ሲያቃጥልብህ ብንናገር መልሰህ እኛን አገባቹ ትላለህያንተን አለቅላቂ ምስጋና ፈልገን የምንታገለው አባቱ ማጎንበስም ትችላለህ,0
የአባገዳ ልጅ ጠሚር ዶር አብይ አህመድ በጉጂ አባገዳ ተመርቀዉ ካላቻ አስረዋል ዶር እንኳን ደስ አለህ,1
የገዛ ጓደኞቻቸውን ከመግደል ወደኋላ የማይሉበት ስሜት ያሉት ይሄ ደሞ በየትኛውም የተማሪዎች ዘመን ታይቶ የማይታወቅ ግልብነትግልፍተኝነት ስለዚህ ያለው እስኪጣራ እስኪረጋጋ አስተማማኝ ሰላም ማረጋገጥ እንደሚቻል,1
የሰኔ ቱን ፍንዳታ በተመለከተ ወዷሜሪካ የተላከውን የተጠርጣሪዎች አሻራ ውጤት ጤና ጥበቃ ሚንስቴር በነካ እጁ ቢገልፅልንግራ ቢገባኝ እኮ,1
በኤክሳይዝ ታክስ ሰበብ የታየው የዋጋ ንረት መነሻው የተዛባ የገበያ ስርአት ሲል መንግስት አስተባበለ,1
አብይ እራሱ ጀዋርን መጠቀሚያ አርጎታል ለዚህ ተጠያቂዉ አብይ,0
ጋን እንዳለች እንቁራሪት በለኝ ትንሽዬ ብርሀን ስታይ ኖራ ከጋኑ ስትወጣ በቃ አልተቻለችም እንደጀዋር ኬኛ ብላ ቁጭ ደሞ አንላቀቅም ጀዋር የኛ መንፈስ የሚኒሊክ እንዳንተ ያሉትን እንቁራሪቷች እናገባለን እመነኝ,1
ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ,0
ወያኔን ለመጣል ድርሻ ነበራችሁ ከወደቀ በኋላ ጉራ ከመንዛት,0
ኢትዮጵያ ያሉት መኪኖች ብዛት ሚልየን አይደርስም በሚገርም ሁኔታ በአማካይ በአመት ከዎች በትራፊክ አደጋ ህይወታቸውን ያልፋል ©,1
የእነዛ ምስኪን ንፁሀን ምንዱባን ነፍሳት የተቀጠፈ ህይወት አይረሳም በአንድ ቀን ጀምበር በዘመዳሞች ፉክክር በአብይ አህመድና የአይኤስ ወኪል በሆነዉ ግለሰብ የተፈጁትን የንፁሀን ኢትዮጵያውያን,0
ሰለቸኝ ጌታን ሰው አውሬነት እየተለወጠ ደከመኝ ደከመኝ ጌታ ሆይ አረ ዘመን ሰው ፔጅ ሄዶ ያንን ሰው ሙሉጭ አርጎ መስደብ ይሉታል መሳደብ ይቀላል ያንን ፔጅ አለማየት,1
ነህ ከምትላቸው ቃላት ያንተ ቅንነት ለመገመት ችያለሁ ቅንማ ባትሆን ኪራይ ሰብሳቢነኝ ስትል በኢትቪ ቀርፀው ዶክሞንተሪ የሚሰርቡህ,1
ሞቻለሁ ጌታ ሆይ ኧረ,0
ተፎካካሪ ፓርቲዎች ተሰባስበው ቡድን አዋቅረው ፋና ዋልታ ኢቲቪ አጠቃላይ የህዝብ ሀብት የሆኑ ሚዲያዎች የባለቤትነት አጠቃቀም ጥርት ፅድት መስመር እንዲሰመር ከአሁኑ መታገል አለባቸው,1
ኦሮሞ ምንም ቢማር ከብት አያስተዉልም ጥንብ ዘረኛ ናቸዉ,0
እየሱስ ክርስቶስ ከድንግል ማርያም የተወለደ በስጋ ከዳዊት ዘር የተወለደው ስለሰው ልጆች ኀጢአት እዳለመክፈል የምትሉ በዚህ ፔድ መወያየት እንችላለን,1
የጌታዬ እናት ንፂህተ ንፁሀን ቅድስተ ቅዱሳን ድንግል ማርያም ምንም አኔ ሀጢያተኛ ልጅሽ መሆን የማይገባኝን አስቢኝ ከሰራሁት የልጅሽ ቃልኪዳን ይበልጣልና አሳስቢልኝ ሰአሊለነ ቅድስት,1
አምላከ ቅዱስ ኡራኤል መልአክ ቀኑን የተበረከና የተቀደሰ ያድርግልን በሰላም ያሳደረን በሰላም ያውለን አገራችንን ኢትዮጵያን ዳሯን እሳት መሀሏን ገነት አድርጎ ይጠብቅልን አሜን,2
ጥሩ ጊዜበተለይ ቆመን ተንቦገቦገች ያልናት,2
ማለት ኦሮምኛ እስክንለምድ ድረስ ኦሮሚኛ የምትችሉ ተርጉሙልን እስቲ ፎቶው አንደኛ ፓ ሰላም ፍቅር ደስታ ፈገግታ በሁሉም ሰፍኗል ከነሱ አቢቹ ከአቢቹም ወደነሱ ይፈነጠቃል ደስ ሲል ነጌኒ በዳዳ መኖርደስይላል,1
መልካም እሴቶችን በማሳደግ ችግሮችን በሰላም ለመፍታት ዜጋ አብሮ መቆም አለበት የሀይማኖት አባቶች,2
ይታመሳል አሉ ከፋ ቦረና ሰላም አይደሉም እነራስ ጎበና የሚሰጡት ቢያጡ ከድፍን አበሻ ለኡራኤል ሰጡት የጎበናን ጋሻ ተብሎ የተዘፈነላቸው ስመጥሩ ጀግና ራስ ጎበና ይህን,1
የኢትዮጵያ መንግስት በግድቡ ዙሪያ በሚደረገው ድርድር ከፍተኛ ጥንቃቄ ሊያደርግ ይገባዋል ምክናያቱም አሜሪካ ለግብፅ የማታዳለበት የለም,2
ኢትዮጵያ በደከመች በግፍ የተወሰደባትን የባህር በር የጊዜ ማስመለሷ አይቀርም ከቻይና ቦሊቪያ ብዙ ልንማር ይገባል,2
በተለይ ምእራብ ወለጋ ግዛቱ ሁለት አመት ድፍን ሁለት አመታት ሙሉ ኦነግ ነፃ መንግስት ልጆችን ለወታደርነት ሲመለምል ትምህርት ቤቶችን ጭምር የወታደር ካምፕ ሲያደርግ የሚናገር ጠፋ,1
ቲሽ ጨለምተኛ ዱቄት ቆመሀል ጊዜው ነጉዷል አሉባልታህን ቀቅለህ ብላው ልደቱ እየመጣ,0
እረ እረፍት አርግ ይሄ ደግሞ ስራ,1
የኛ ቁልጭ መኩሪያ ነሽ እኮ,2
ክፉ ተናግረውክፉ አናገሩኝ ይቅር በይኝ ሁለት አስኮንኞች እኮ ከደሙ ንፁህ,0
ያንች ነፃነት በአማራ ህዝብ ወሬኛ,0
ቅውቀት ዛሬ በሽ ነበርብሬ ከባድ ሚዛን በተግባር አየን አይጠገቤው ኢንተርቪው እውቀት ስገበይ ዋልኩ ብል ማጋነን አይሆንብኝም ቤሬን የሚመጥን ጋዜጠኛ አገርቤት አይመስለኝም,1
የህዳሴ ግድብ የሶስትዮሽ ውይይት በካይሮ እየተካሄደ,1
ባየሽው የኔን ቀሎኛል በታመምሽው እኔም አሞኛል,1
በግሌ ኡስታዝ አቡበክር አህመድ ምጠ ሚኒስትሩ ስልክ እንደደወለላቸው ጭምር ትዝ ይለኛል,1
እማማ ዘርፌማ ጂም ከርመው የመጡት የስኳቲንግ ምናምኑ ውጤት,1
ይሄ ዜና ስብሰባው ከመደረጉ በፊት ማለት ትችሉ,1
በአማራ ክልል ሊሰሩ የሚባሉት መንገዶች ጀምሮ ሲንጠባጠቡ ሲራዘሙ የቆዩ ፍትሀዊነትን ለማስፈን እስካሁን በአማራ ክልል ምንም የመንገድ ፕሮጀክት አለመጀመሩ ሊታወቅ ይገባል የርመስተዳድር አማካሪ ግዛት አብዩ,1
አስኬ መልካም ሰዉ መሆንህን ስራህ ይመሰክራል እንኮን አንተን ክርስቶስንም ወንጀለኛ ብለዉታል መልካም አድርግ ድሉ የእግዛቤር እግዛቤር ሁል መልካም ሚያረገዉ ሰዉ የሚሆነዉ አይዞህ እግርህ ስር ይወድቃሉ,2
እኔም ብዬ,1
ኢቲቪ እውነት መናገር ጀመረ ብልጋና ፓርቲ መጪወ ግዜ ከብልግና ፓርቲ ጨለማ ኢቲቪ እውነት መናገር ጀመረ ብልጋና ፓርቲ መጪወ ግዜ ከብልግና ፓርቲ ጨለማ ኢቲቪ እውነት መናገር ጀመረ ብልጋና ፓርቲ መጪወ ግዜ ከብልግና ፓርቲ ጨለማ,0
የጎንደር ዩኒቨርሲቲ እንደሚለው ቅጣት የተጣለባቸው ግለሰቦች ኹከት እንዲስፋፋ ተማሪዎች ክፍል እንዳይገቡ መከልከል ትምህርት እንዳይጀመር ተማሪዎችን መምህራንን በማስፈራራት ስለት ነገሮችን ግቢ ይዘው በመገኘት ጥረት አድርገዋል,1
እወድሽ ነበረ ዛሬስ ጠላሁሽ ሰፌድ ቆሎ ያም ያም ዘገነሽ ጉድ,0
ታብሌት ኮምፒውተሮቹ በስጦታ የተገኙ በህዝቡ ገንዘብ የተገዙየከተማ አስተዳደሩ በጀት ይዞለት ነበርወይስ ወዘፈቀደ ከንቲባ አንተስ እየደገፍክ ዜና እያሰራጨኽ,0
መልካም አርጋ የተጫወተችው,2
ሰው በከንቱ አለመኖር ሰመኝ እድሜ ያንቺ ፍቅር ለሚያለመልመኝ ደህና ኑረዲን ኢሳ,2
ሁል በጌታ ደስ ይበላችሁ,2
በአጠቃላይ ፖሊሲ አውጪዎችን ጨምሮ በኢትዮጲያ ያሉ ሙያን የሚፈልጉ የአገልግሎት ቦታዎች የሚገኙት ሰዎች በፖለቲካዊ አስፈላጊነታቸው ብቻና ኢትዮጲያ ለባለሙያዎቿ በሯእንደተዘጋ የተማረ የሰው ሀይል እጥረት ይላል ደሞ,1
ኢትዮጵያን በሰላም በወጣቶች ስራ አጥነት እጦት እየተሰቃየች መሪ ባይ ልማት ከማምጣት መዝናናት ድግስ በማድረግ የህዝብ በጀት በግብዣ እያለቀ ነወ በዘንድሮ በተ ወር ቢሊዮን ብር ለድግስ ወጪ,1
የወለጋ አለባብሰው ቢያራሱ በመንግስት በኦነግ የተረገው ድርድር ግልፅ አልነበረም ሁለቱ አካላት መስማማት አልቻሉም የኦነግ ሰራዊት ካምፕ ገባ ቀሪው በያለበት ምሽጉን ይዞ ማሸበር ጀመረ,1
እንተዋወቃለን የሀበሻ ወንዶች ሀበሻ ሴቶችን ያዉቃሉ,1
ለዚህ ንግግርህ ሺህ አሜን ብል አይደክመኝም ለሁላችንም የምትመች ሁላችንንም የምታይ ሀገር በጋራ እንገነባለን,2
ከዳር ቆመን የምናይበት ከዳር ቆሞ ማየት መብትን አሳልፎ መስጠት የኢዜማ መሪ ብርሀኑ ነጋ ፕሮፌሰር ዛሬ እሁድ በነጋ ቦንገር ሆቴል የተናገሩት ስብሰባው እንደቅጠለ,1
ሴት ብሆን ይሄን በሬ ወለደ ብልሽ ታምኚኝ ነበርእድሌ,0
ከበቂ መረጃ በላይ አለ ነገር ለእንዳንተ አይነቱ ሰው አብይ እራሱ ወጥቶእኔ የገደልኩት ቢል ከማጨብጨብ ውጪ ምንም አታደርግም እየፈጠርክ የሱን ንፁነት ትሰብካለ ለሟች ቤተሰብ ደርሶ ተቆርቋሪ አትምሰል ‍♀️,1
እርግጠኛ መሆን እፈልጋለሁ እንደተለመደው ውሸት እየተናገሩ,2
የአዋሽ ባንክ የባለአክሲዮኖች መደበኛና ድንገተኛ ጠቅላላ ጉባኤ ወሳኝ የሚባሉ ውሳኔዎቸ ተላልፏል በዚህ መሰረት የባንኩ ካፒታል ቢሊዮን ብር ቢሊዮን ብር ኢንድያድግ ተወስኗል የቦርድ አባላት ምርጫም ተካሄዷል,1
ብልፅግና ብልግና,1
የቆሸሸ ሟች ለመደበቅ እንደቆሙ አውቃለሁ,0
በምእራብ ኦሮሚያ በሚገኙ በሁለቱ የወለጋ ዞኖች ምስራቅ ወለጋና ሆሮ ጉዱሩ ወለጋ ዞኖች የኢንተርኔት የስልክ አገልግሎት መቋረጡን የአካባቢው ነዋሪዎች ተናገሩ,0
ጥር በኮሮና ቫይረስ ተጠርጥሮ ለተጨማሪ የላብራቶሪ ምርመራ ደቡብ አፍሪካ ተልኮ የነበረው ዜጎች ናሙና ከቫይረሱ ነፃ መሆኑን የጤና ሚኒስቴር ሚንስትር ዲኤታ ተናገሩ ኮሮናቫይረስ,2
ሽሮ ፍትፍት ለሚያስፈልገው,1
አቡነመርቆሪዎስ አመት በኋላ ለመጀመሪያ ተናገሩ ለሀያ ስምንት አመታት አንዳችም ቃል ከአፋቸው ሳይወጣ የቆዩት አቡነ መርቆሪዎስ የገናን በአል በማድረግ ለመጀመሪያ እግዚያብሄርይባርካችሁ የሚል ቃል ተናግረዋል,1
እንዲህም ማለት ይቻላል ጔደኛየ አብርሀም ቢያይህ አንተን ተጨቁነህ ያልነበርከውን ጨቌኘህ ለካስ ጭቁን ነበርኩ ብለህ እንድታስብ ያደረገህ መሆኑን ያብራራልህ,1
ምርጫ የጊዜ ሰሌዳን አስመልክቶ በቦርዱ ሰብሳቢ ወሪት ብርትኳን ሚዴቅሳ የቀረበ ገለፃ የምርጫ ቀኑን የተወሰነው ህገመንግስቱን መሰረት ባደረገ መልኩ ህገመንግስታችን አንቀፅ ንኡስ አንቀፅ እንዳስቀመጠው,2
አንዳንድ ሰዎች ስስ ብልት እየመረጡ የህዝቡን ትኩረት ለመሳብ የሚያደረጉት ሁኔታ መንግስት ትኩረት ሰጥቶ አደብ ማስገባት ካልቻለ አሳሳቢ,1
ሁሉንም ነገር ሰበብ እናደርጋለን ጎረቤቶች ምንም ውድ ሆነን ለመሸጥ ርካሽ ለመግዛት እንፈልጋለን ሳን ፍራንሲስኮ ዴ ሽያጭ,1
አይይይ መሬት ያለው ሰው አለ ይላሉ አማራ አዲስአበባ መንግስት ከአስመራ ትእዛዝ እንደሚቀበል እስቲ ንገሩት ለዚህ ሰውየ ለክፋት ከሆነ እማ ሻእብያ ክናንተ ይብሳል በአንቀፅ ሀገራት የሚሰጥክ አርፈህ ተቀመጥ,1
አጭበርብሮም ቢሆን ማሸነፍ አለበት,0
ሲጀመር ሌሎችሁን ሲሰድቡ እንዲህ እይነት ማስተካከያ እናደርጋለን አላሉም እሺ ሶ ህውሀት ብሄራዊ ፓርቲ ካላቋቋሙ በስተቀር በዘር ፖለቲካ ይቀጥላሉ ማለት,1
አንዳንድ ሰዎች ኢንሻላህ ኢራን አሜሪካን እንደምታሸንፍ አስረግጠው ሲበጠረቁ እያዬሁ ሀይማኖትና ጎሰኝነትኮ ሀቅን ለመድፈን ተወዳዳሪ የላቸውም,0
አየህ ችግሩ እንዳንተ አይነቶቹ ግለሰብ አምላኪዎች ሎጂክ ስለማይገባችሁ ሰዎችን በሀሳብ ከሞሞገት ፍረጃ ይቀድማችኋል,0
ደግ አደረገችህ ብለህ አፍህን ከፍተህ,0
አትሌት ሀይሌ ጠቃሚ ነገሮችን በሀገራችን እየሰራ ሊደነቅ ይገባል እስቲ እኔና ሀይሌ መቶ ሜትር እንሩጥና ካሸነፍኩ መኪና ለኔ ጀባ ይበሉኝ,2
የብልፅግና ፓርቲ የአዲስ አበባ የንግድ ማህበረሰብ ውይይት,1
መንግስት ዲሞክራሲ ሲቀደድልህ አትስማው የሚያደርገውን ነገር በደንብ ተከታተል ያኔ አላማው ይገለጥልሀል የሀሳብ ነፃነትን የሚከለክል መንግስት ብልፅግና ቢያወራህ እንኳን ፅን ከመሀል እያወጣህ ስማው ትክክለኛ ማንነቱ ነው‍♂️,0
ፈጣሪ ሬጌ ሙዚቃ ሆን ብሎ የቀጣን እኮ እዮብ መኮንንን ወደራሱ የወሰደብን ቀን,1
የሚስደስት በእውነት ቡዙዎች መነፅራቸውን ብያስተካክሉ መልካም,2
ካቀድነው በላይ ታጋች ያስፈታን ከእቅዳችን ይሰናሰል አንዳንዶቹን መልሰን ለአጋቾቹ ሰጥተናል ወይዘሮ ንጉሱ ጥላሁን •••,0
ጉዳዩ አገር ሰላም ብሎ የተቀመጠን ህዝብ ለበቀል የርስበርስ ጦርነት የሚቀሰቅስ,0
ያየሰው ሺመልስ የደረሰው ነገር ያሳዝናል በቃል አላምረውም ላይም በኮን ሀላፊው ንጉሱ ጥላሁ የግድያ ማስፈራሪያ እንደደረሰበት ታውቀዋል የአብይ አህመድ መንግስት ፍፁም አፋኝነት ተሸጋግረዋል ያየሰው የሸዋ ሰው,0
መጋኛ ይምታው,0
እያየን ብዙ ነገሮች ተቀይረዋል መልካም አዲስ አመት ፍፄ,2
ጉዳዩ ሙስና ሰው ሙስና ይጠይቃል ማለት ባንተ ስላልደረሰ የለም አይባልም,0
ሰው ትራምፕን ጥብጥቢ የተጫወተበት የለም,1
የወላይታ ሊቃውንት አክቲቪስት ነን ባዮች ከህወሀት የሚያደርጉትን ግኑኝነት ባልደግፈውም አልቃወምም ምክኒያቱም ዋስትና ፍለጋ ሰው ሴጣን ሌሄድ ይችላልና,1
ብልፅግና ፓርቲ አዲስ ፓርቲ የኢህአዴግ ውህድ ኦቦ በቀለ ገርባ ኤም ኤን የሰጡት አስተያየት,0
ቤሄሩን ስደግፍ ሌላዉን ጥሎ ሁሉን ባንድ ማየት ከቻለ,1
ጉራጌን ስትፍቀው ብትውል ጠንካራና ታታሪ ኢትዮጵያዊ የሚወጣው ️,1
በኛ አካል ይጣራል የንተ መደሰት እንድንጠራጠር አርጎናል,0
ነፃ ለመሆን መጀመርያ የነፃነት ትርጉምን መረዳት ወሳኝ,1
ባሀሩን የምታደፈርስ መስሏት አሞራ አለማወቋ ለውንብዳናዋ ትልቅ ባህር ትሸናለች የሷ ሽንት ትልቁን ባህር የማደፍረስ አቅም የለውም አቦ ለማ መገርሳ በሰላም አሜሪካ ገብተዋል,0
ቆይ ወንዶች ለበአል ምንድነው የሚለብሱት አቦ አስቀናችሁኝ እኔም ሀበሻ ቀሚስ ልግዛ,1
በትክክል ለአዲስአበቤዎች የቆመ ፖርቲ ባልደራስ ለእውነተኛ ዲሞክራሲ ድል ለዲሞክራሲ ️ ድል ለኢትዮጵያ ️,2
በኤርትራ በጠበጣችሁኝ ብሎ እንደቀልድ ወር ዩኒቨርስቲ የዘጋ መንግስት አልጋወራሹ ተማሪ እያለ እስኪጫረስ ነውንዴ የሚጠብቀው ትምህርቱ ከደበራቸው እነሱም ይረፉ እስቲ,1
ህዝቡን ዲሞክራሲ እናለማምደው ከማለት ቅድሚያ መለማመድ አለባቸውይህ ህዝብ እነሱንም ነፃ ያወጣቸው,1
ቱ በሉ የመራራ ፓርቲ በከበቡሽ ካልተዋጠ የመራራ ፓርቲ ልጥ መዋጡ ያኔ ኧረ ጀዌ ከበቡሽ ፓርቲዬን ዋጠው ቢለን መስሚያዬ ወይኔ መራራ ስሜ መራራ,0
ምንድን ግልፅ ያልሆነው የብሄር መብትን በሩሲያ አብዬት ያነሳው ስታሊን ተነስቷል የመብት ሳይሆን በወቅቱ ለአብዮቱ ድጋፍ የማግፕት በሗላ እታሊን ገዳይ ሆነግልፅ ውይይቱ ጠያቂው ማድመጥ ቢቸግረውም አንዳንዴ,1
እኮ እኔው ኧረ ቆርጦኝ ለመቀየም በቂ ብለህ ታምናለህ,2
