tweet,sentiment
"-1-

በ""መጽሐፈ ጨዋታ"" መሰናዶ ላይ ያየሁት ተመቸኝ። ቃለ መጠይቅ የተካሄበት ቦታ (ላይብረሪ ይመስለኛል) ተሰንደው በተደረደሩ ጋዜጦች የተሞላ ነው። ለምሳሌ  አዲስ ዘመን፣ ሪፖርተር፣ ፎርቹን፣ አዲስ አድማስ ጋዜጦች ተሰንደው ተመልክቻለሁ።

 #Ethiopia https://t.co/iWddabRq6j",neutral
@fairytale0716 🤣 ድሮ በዘመነ ኮዳክ ፎቶ ቤት ፍላሹ ፏ ሲል አይናችን ተጨፍኖ እንዳይወጣ የምንቸክለውን ነገር አስታወሰኝ 😂😂 ምን ሆኖ ነው ግን? ከሗላ ያለው ቴዲ ሁሉ ፊቱን አዞረ እኮ 😂,negative
@BerisoOshone @Jawar_Mohammed ዠልጥ🤣 🤣🤣 ገገማ,negative
"ታቦተ ሕጉ ለእግዚአብሔር በካህናታ ሕጽርት ወበመንፈስቅዱስ ክልልት
ንጉሥኪ ጽዮን ኢይትመዋዕ ለፀር
ወኢየኃድጋ ለሀገር።
በካህናት የተከበብሽ በመንፈስ ቅዱስ የተከለልሽ የእግዚአብሔር ታቦተ ሕግ ጽዮን
ንጉሥሽ ለጠላት አይሸነፍም ሀገርንም አይተዉም",neutral
@AbbaSheger ማንም ቢሆን የሀገሩን ጥቅም አሳልፎ አይሰጥም። ያ መላጣ (ነአ) የሻቢይን ይሁንታ ለማግኘት ሲል ሀገሪቱን የባህር አሳጥቷታል። ታምራት እውነታውን ባወራ እንዲህ እርር ማለት ምን አመጣው። ሚሊዮኖች አብረውት ናቸው።,mixed
"ብ/ጄ አሳምነው ጽጌ ከምክትል ጠ/ሚ ደመቀ ጋር በሱዳን ጉብኝት አልበሽር ያሉትን ለተመስገን እንደነገረው....ኢትዮጵያ ለእኛ ጥሩ ጎረቤታችን ናት፤ ከህወሓት ጋር ግን ቤተሰብ ነን።",neutral
"@EthioReporter The only part I like......""ትልልቅ የነዳጅ ፍጆታ ያላቸው ተሽከርካሪዎች ከአየር ብክለት አኳያ፣ በነዳጅ ወጪም ረገድ ተለይተው ኤክሳይዝ ታክሱ ሊጣልባቸው እንደሚገባ፣ በሊትር እስከ 20 ኪሎ ሜትር በሚነዱት ላይ የተለየ አተያይ እንዲኖር ጠይቀዋል፡፡""",neutral
@Abione_Bekele 😄 እሺ ወንድሜ እተከላለሁ ማኛ እኮ ናት ወዳታለሁ በጣም ደሞ  ቅና አሉህ 😉,neutral
@fitih11 ይቺን አውቆ ነው ዶ/ር አብይ ክርስቲያን የሆነዋ.......ኧረ ጀንፈሉ ይህ እንጣጥ እንጣጥ ዋዋዋ!,neutral
"@DrSenait ሰው የፈለገውን የመሆን መብት ቢኖረውም መብቱ የሚወሰነው ግን በሚኖርበት ሀገር ውስጥ ህጉ ማኖር ሲችል ብቻ ነው።
ይህ ከመብት እና ከእኩልነት ጋር አይገናኝም፣ ከህግ ጋር እንጂ",neutral
@AsemahagnAseres ... እናማ ልሙጡ ባንዴራን ለቤተክርስትያኒቷ አስረክባቹ፣ secular በመሆን በተሻለ መንገደ ሰለማዊና የተረጋጋ ክልል በመፍጠር ሰርታቹ አሳዩን 'ና ተዛ ለሚመጣ የውጭ ወራሪ/ጠላት አብረን 'ንቆማለን...,neutral
@Senaitbitew @KasayeRH @Kal_Kass @melak_abera @_wurye @tweetofmicky @ZemenuYA ሳያችሁ ግን ሶስተኛው የአለም ጦርነት ጉዳይን ከመጤፍም አልቆጠራችሁትም።,neutral
@Ethiopialiveupd @ebczena ብድር በምድር መሆኑ ከሆነ ተገቢ አይደለም ከዚህ በፊት ስንቃወም የነበረው ይህንንም አልነበር ታድያ ጉልቻ ቢቀየር ሆኗል ነገሩ ማለት ነዋ ...... ወይ ሃገሬ ደጉን ያምጣልን እንጂ ምን እንላለን።,neutral
ለውጡን ያለመው የኦሮሚያ ባለሃብቶች ውይይት https://t.co/SAKDrNMYhu,neutral
"የሀገሩን  ችግር የሚያውቅ እና መፍትሔ የሚያመጣ በትክክል የሀገሩ ሰው ነው። ይቺ ወጣት ለእንጀራ መጋገር የሚያስፈልገውን አብሲት በተለየና በቀለለ ዘዴ በማዘጋጀት ለእናቶቻችን ውለታ ውላለች ።  
ከሰይፉ በኢቢኤስ",positive
ማንም ምንም አያውቅም!እና ማንም ሁሉን ያውቃል!አይባልም።,mixed
ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልያታይ ጥስው ዶረበ ጽርቅ ድንአ ምንም ሳይነሱ ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ,negative
@heyab_ በጣም ስውር ህዝብም ጭምር:: እኔ የሰዉ ሂሉን እሺ ብሎ መቻል በጣም ነው ሚገርመኝ::,neutral
የሃይማኖት መሪዎች ለክርስትና እምነት ተከታዮች የእንኳን አደረሳችሁ መልዕክት አስተላለፉ https://t.co/jrQkU4FARZ,positive
"አዲሱ የአቶ ሬድዋን ሁሴን ሹመት,መንታ መንገድ ላይ የቆመው የስልጤ ህዝብ እና ምርጫ  2012 እመለስባታለው ጠብቁኝ",neutral
"ከዓፋር ወጣቶች የተላለፈው አስቸኳይ መልእክት!

የዓፋር ወጣቶች የአማራ ክልል ርእሰ መስተዳድር በክልሉ እያደረጉት ያለውን ጉብኝት ለመቃወም በሰመራ ሉሲ አደራሽ ልክ 9:ዐዐ ሰዓት እንገናኝ እያሉ ነው።",mixed
"መጀመሪያ ቃል ብቻ ነበረ፤ 
ቃልም በቀለም ተቀናበረ፤
ቃልና ቀለም በተግባር ኖረ፤
መዕራፉን ጨርሶ ቋጠረ።",positive
የቤት ውስጥ ጥቃት – ያለሰሚ – ያለተመልካች https://t.co/T9kAVYPYZh,negative
ሪፖርት | ፈረሰኞቹ ምዓም አናብስትን በመርታት ወደ አሸናፊነት ተመልሰዋል https://t.co/s2lSnREJBb,neutral
የህወሓት ማዕከላዊ ኮሚቴ አባል አቶ ጌታቸው ረዳ ትላንት በድምፂ ወያነ ቴሌቪዥን ስለ ህወሓት ቀጣይ ዕጣ ፈንታ ተናግረዋል እየተባለ በማህበራዊ ሚዲያ የሚሰራጨው ዜና ሀሰተኛ ነው።,neutral
"RT @MezmurBest: ""ኤርትራውያን ስነ ጥበበኛታት ንናይ ጎደና ስነጥበብ ክንደፍኣሉ ይግባእ። ንዘሎና ሃብታም ታሪኽ ብቕርጻ፡ ብቕብኣን ስነ ጽሑፍን ክንትርኾ ኣሎና። ነፍሲ ወከፍ ጎደና ታሪኽ ክንስንደሉ ዝኽእል እዩ።""…",positive
"@abirhanu አይ ካሳዬ ስምንተኛ ክፍልን ዘልቋል ብለን ነው የሾምነው 😂😂 መልሱ እኮ እዛው በቀይ ያሰመርከው ላይ አለ ... ""ከጊዜው ነባራዊ ሁኔታ ጋ ሊያራምዳቸው ....' አለቀ።",neutral
ሀገር አቀፍ ብሔራዊ የሴቶች የሰላም ምክር ቤት ተቋቋመ https://t.co/cRJ8AO71E0,positive
የ24 ሰዓት የቴሌቭዥን መርሐግብሩ ተጀምሯል::ከዮድ አቢሲንያ የማብሰርያ ዝግጅት አለ:: https://t.co/yIwb4I61Ym,positive
"@awushwish @ZemenuYA የነዚህን አይነት ወሬ አራጋቢ ነው! 
Do you get me!!?",negative
@HussenMuhye ያንተ የበታችነት ስሜት ነው፣ ማንም አክራሪ ሰክሮ እየመጣ መስጂድህን ሲያቃጥልብህ፣ እኛ ብንናገር አንተ መልሰህ እኛን ምን አገባቹ ትላለህ።ያንተን አይነት አለቅላቂ ምስጋና ፈልገን አይደለም የምንታገለው አባቱ፣ አንተ ማጎንበስም ትችላለህ።,negative
የአባገዳ ልጅ ጠ/ሚ/ር ዶር አብይ አህመድ በጉጂ አባገዳ ተመርቀዉ ካላቻ አስረዋል። ዶር  እንኳን ደስ አለህ። https://t.co/kv3oGMrBBT,neutral
@sam_tassew ... የገዛ ጓደኞቻቸውን ከመግደል ወደኋላ የማይሉበት ስሜት ላይ ነው ያሉት። ይሄ ደሞ በየትኛውም የተማሪዎች ዘመን ታይቶ የማይታወቅ ግልብነት/ግልፍተኝነት ነው።   ስለዚህ ያለው ጉዳይ እስኪጣራ እስኪረጋጋ እና አስተማማኝ ሰላም ማረጋገጥ እንደሚቻል..,neutral
@MintesinotF የሰኔ 16ቱን ፍንዳታ በተመለከተ ወደአሜሪካ(FBI) የተላከውን የተጠርጣሪዎች አሻራ ውጤት ጤና ጥበቃ ሚንስቴር በነካ እጁ ቢገልፅልን።...ግራ ቢገባኝ እኮ ነው 🤔,neutral
በኤክሳይዝ ታክስ ሰበብ የታየው የዋጋ ንረት መነሻው የተዛባ የገበያ ሥርዓት ነው ሲል መንግሥት አስተባበለ https://t.co/vhWEsbefXL,neutral
@BilisumaKegna @seyoum_teshome አብይ እራሡ ጀዋርን እንደ መጠቀሚያ አርጎታል ለዚህ ሁሉ ተጠያቂዉ አብይ ነዉ,negative
@LoveAbaba @Anbessaw1 @Jawar_Mohammed @Tseday ልክ ጋን ዉስጥ እንዳለች እንቁራሪት ነዉ በለኝ ትንሽዬ ብርሀን ስታይ ኖራ ከጋኑ ስትወጣ በቃ አልተቻለችም እንደጀዋር ሁሉ ኬኛ ብላ ቁጭ እኛ ደሞ አንላቀቅም ጀዋር የኛ መንፈስ የሚኒሊክ ነዉ እንዳንተ ያሉትን እንቁራሪቷች ልክ እናገባለን እመነኝ,neutral
@jemilsani14 @eskinder_nega ። ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ,negative
#Ethiopia ወያኔን ለመጣል ምን ድርሻ ነበራችሁ ? ከወደቀ በኋላ ጉራ ከመንዛት በቀር,negative
"RT @chapygi: ኢትዮጵያ ውስጥ ያሉት መኪኖች ብዛት 1 ሚልየን አይደርስም። በሚገርም ሁኔታ ግን በአማካይ በአመት 5,000 ከዎች በትራፊክ አደጋ ህይወታቸውን ያልፋል።

©Fact",neutral
ዶክተር ፓቭል የአንተን ስጦታ በመደገፍ ተቀባይነት አላገኙም ልጋልፈስያ ርገነ ኝሳወ ልህያ ቅለጥመለ ለእናንተ ርበነ ቅውአ ንትንዴ ይቬርሃ ንግ ርገነ,mixed
"@AbiyAhmedAli https://t.co/tREjt7HpeGበነገራችን ላይ ! 

""የእነዛ 86 ምስኪን ንፁሃን ምንዱባን ነፍሳት የተቀጠፈ ህይወት አይረሳም !""

በአንድ ቀን ጀምበር ብቻ በዘመዳሞች ፉክክር በአብይ አህመድና የአይኤስ ወኪል  በሆነዉ ግለሰብ የተፈጁትን የንፁሃን ኢትዮጵያውያን",negative
ሰለቸኝ ጌታን ሰው ወደ አውሬነት እየተለወጠ ነው ደከመኝ ደከመኝ ጌታ ሆይ አረ ምን አይነት ዘመን ነው ሰው ፔጅ ላይ ሄዶ ያንን ሰው ሙሉጭ አርጎ መስደብ ምን ይሉታል መሳደብ ይቀላል ወይስ ያንን ፔጅ አለማየት?,neutral
@ZemenuYA @TakeleUma ልክ ነህ! ከምትላቸው ቃላት ያንተ ቅንነት ለመገመት ችያለሁ፡፡  ቅንማ ባትሆን ኪራይ ሰብሳቢነኝ ስትል፣ በኢትቪ ነበር ቀርፀው፣ ዶክሞንተሪ የሚሰርቡህ፡፡,neutral
@Daveamicho @drdantulu እኔ ሞቻለሁ 😂😂😂😂😂😂😂😂😂😂😂😂 ጌታ ሆይ ኧረ ና!,negative
ተፎካካሪ ፓርቲዎች ተሰባስበው እና አንድ ቡድን አዋቅረው ፋና ፥ ዋልታ እና ኢቲቪ አጠቃላይ የህዝብ ሀብት የሆኑ ሚዲያዎች የባለቤትነት እና አጠቃቀም ላይ ጥርት እና ፅድት ያለ መስመር እንዲሰመር ከአሁኑ መታገል አለባቸው። https://t.co/msXYNoOK03,neutral
@Abione_Bekele ኦሮሞ ምንም ቢማር ከብት ነዉ አያስተዉልም ጥንብ ዘረኛ ናቸዉ,negative
እየሱስ ክርስቶስ ከድንግል ማርያም የተወለደ  ወይም በስጋ ከዳዊት ዘር  የተወለደው ስለሰው ልጆች ኀጢአት እዳለመክፈል ነው የምትሉ በዚህ ፔድ መወያየት እንችላለን,neutral
የጌታዬ እናት፦ ንፂህተ ንፁሀን፤ ቅድስተ ቅዱሳን ድንግል ማርያም ምንም አኔ ሀጢያተኛ ልጅሽ መሆን የማይገባኝን አስቢኝ ።ከሰራሁት ይልቅ የልጅሽ ቃልኪዳን ይበልጣልና አሳስቢልኝ ። ሰዐሊለነ ቅድስት!!! https://t.co/ftxDuQhPvZ,neutral
"አምላከ ቅዱስ ዑራኤል መልአክ ቀኑን የተበረከና የተቀደሰ ያድርግልን፡፡ በሰላም ያሳደረን በሰላም ያውለን፡፡ አገራችንን ኢትዮጵያን ዳሯን እሳት መሃሏን ገነት አድርጎ ይጠብቅልን፡፡
 አሜን!!!",positive
"@birukzerihunal1 ጥሩ ጊዜ፣በተለይ ቆመን "".....ተንቦገቦገች"" ያልናት!! https://t.co/vNaZBU7AlP",positive
"@AbiyAhmedAli ምን ማለት ነው?
ኦሮምኛ እስክንለምድ ድረስ ኦሮሚኛ የምትችሉ ተርጉሙልን እስቲ

ፎቶው አንደኛ ነው! ፓ!
ሰላም ፍቅር ደስታ ፈገግታ በሁሉም ላይ ሰፍኗል። ከነሱ ወደ አቢቹ፤ ከአቢቹም ወደነሱ ይፈነጠቃል። ደስ ሲል!
ነጌኒ በዳዳ 

   ፩#መኖርደስይላል🌻",neutral
መልካም እሴቶችን በማሳደግ ችግሮችን በሰላም ለመፍታት ሁሉም ዜጋ አብሮ መቆም አለበት፡- የኃይማኖት አባቶች https://t.co/pfri4yEYho,positive
"RT @YaredALegesse: ይታመሳል አሉ ከፋ እና ቦረና፤
ሰላም አይደሉም ወይ እነራስ ጎበና?!

የሚሰጡት ቢያጡ ከድፍን አበሻ፤
ለኡራኤል ሰጡት የጎበናን ጋሻ።

ተብሎ የተዘፈነላቸው ስመጥሩ ጀግና ራስ ጎበና ይህን ይ…",neutral
የኢትዮጵያ መንግስት በግድቡ ዙሪያ በሚደረገው ድርድር ከፍተኛ ጥንቃቄ ሊያደርግ ይገባዋል ።ምክናያቱም አሜሪካ ለግብፅ የማታዳለበት ምክንያት የለም።,mixed
@AbbaSheger ኢትዮጵያ በደከመች ጊዜ በግፍ የተወሰደባትን የባህር በር የጊዜ ጉዳይ ነው እንጂ ማስመለሷ አይቀርም ።ከቻይና እና ቦሊቪያ ብዙ ልንማር ይገባል ።,positive
@dawitesfaye በተለይ ምዕራብ ወለጋ ግዛቱ ሆነ። ሁለት ዓመት (ድፍን ሁለት ዓመታት) ሙሉ ኦነግ ነጻ መንግሥት ኾኖ ልጆችን ለወታደርነት ሲመለምል፣ ትምህርት ቤቶችን ጭምር የወታደር ካምፕ ሲያደርግ የሚናገር ጠፋ ....,neutral
@MadyYonas ቲሽ ጨለምተኛ ዱቄት 97 ላይ ቆመሃል እንዴ ጊዜው ነጉዷል 2012 ነው አሉባልታህን ቀቅለህ ብላው ልደቱ እየመጣ ነው,negative
@AbiyAhmedAli እረ እረፍት አርግ ይሄ ደግሞ የአንተ ስራ አይደለም,neutral
@iDreamEthiopia @GetachewSS @betelhem_dessie የኛ ቁልጭ መኩሪያ ነሽ እኮ!!,positive
@hamezene @KasayeRH @ZemenuYA ክፉ ተናግረው፣ክፉ አናገሩኝ ይቅር በይኝ😞 እነዚህ ሁለት አስኮንኞች እኮ ናቸው። እኔ ከደሙ ንጹህ ነኝ😿😿,mixed
@MebrahtuSenait @Jawar_Mohammed ያንች ነፃነት በአማራ ህዝብ ነው ወሬኛ,negative
"ቅውቀት ዛሬ በሽ ነበር.....ብሬ ከባድ ሚዛን በተግባር አየን አይጠገቤው ኢንተርቪው እውቀት ስገበይ ዋልኩ ብል ማጋነን አይሆንብኝም። 
ቤሬን የሚመጥን ጋዜጠኛ ግን አገርቤት ያለ አይመስለኝም!",neutral
የህዳሴ ግድብ የሶስትዮሽ ውይይት በካይሮ እየተካሄደ ነው) - https://t.co/dUTf0gRDvL - https://t.co/imPt2ecv90 https://t.co/qsVC45pvj1,neutral
"ባየሽው ፡ የኔን ፡ መቼ ፡ ቀሎኛል፣
በታመምሽው ፡ ልክ ፡ እኔም ፡ አሞኛል፡፡ https://t.co/uKcz03JNR3",neutral
በግሌ ዑስታዝ አቡበክር አህመድ የት ሆኖ ለ ም/ጠ ሚኒስትሩ ስልክ እንደደወለላቸው ጭምር ትዝ ይለኛል።,neutral
@LiyanaTefferi እማማ ዘርፌማ ጂም ከርመው ነው የመጡት። የስኳቲንግ ምናምኑ ውጤት 👍😁,neutral
@Ethiopia24News ይሄ ዜና ነው? ስብሰባው ከመደረጉ  በፊት ማለት ትችሉ ነበር!,neutral
"በአማራ ክልል አሁን ሊሰሩ ነው የሚባሉት መንገዶች ከ2008 ጀምሮ ሲንጠባጠቡ እና ሲራዘሙ የቆዩ እንጂ ፍትሀዊነትን ለማስፈን እስካሁን በአማራ ክልል ምንም አይነት የመንገድ ፕሮጀክት አለመጀመሩ ሊታወቅ ይገባል

የር/መስተዳድር አማካሪ ግዛት አብዩ",neutral
@eskinder_nega አስኬ አንተ መልካም ሠዉ መሆንህን ስራህ ይመሰክራል እንኮን አንተን ክርስቶስንም ወንጀለኛ ነዉ ብለዉታል አንተ ብቻ መልካም አድርግ ድሉ የእግዛቤር ነዉ እግዛቤር ሁል ጊዜ መልካም ሚያረገዉ ሠዉ ጋር ነዉ የሚሆነዉ አይዞህ ሁሉም እግርህ ስር ይወድቃሉ,mixed
@kefira_dechatu @fairytale0716 እኔም እሱን ብዬ ነው,neutral
"@AbiyAhmedAli ኢቲቪ እውነት መናገር ጀመረ 
ብልጋና ፓርቲ
መጪወ ግዜ ከብልግና ፓርቲ ጨለማ ነዉ።
ኢቲቪ እውነት መናገር ጀመረ 
ብልጋና ፓርቲ
መጪወ ግዜ ከብልግና ፓርቲ ጨለማ ነዉ።
ኢቲቪ እውነት መናገር ጀመረ 
ብልጋና ፓርቲ
መጪወ ግዜ ከብልግና ፓርቲ ጨለማ ነዉ። https://t.co/Nc3t7vr2z8",mixed
"የጎንደር ዩኒቨርሲቲ እንደሚለው ቅጣት የተጣለባቸው ግለሰቦች ኹከት እንዲስፋፋ ""ተማሪዎች ክፍል እንዳይገቡ መከልከል፤ ትምህርት እንዳይጀመር ተማሪዎችን፣ መምህራንን በማስፈራራት፣ ስለት ነገሮችን ግቢ ውስጥ ይዘው በመገኘት"" ጥረት አድርገዋል https://t.co/JcJSUCifd1",neutral
"እወድሽ ነበረ ዛሬስ ጠላሁሽ
 እንደ ሰፌድ ቆሎ ያም ያም ዘገነሽ፧
ወይ ጉድ",negative
@NatnaelMekonne7 @TakeleUma ታብሌት ኮምፒውተሮቹ በሥጦታ የተገኙ ናቸው ወይሥ በህዝቡ ገንዘብ የተገዙ?የከተማ አሥተዳደሩ በጀት ይዞለት ነበር?ወይሥ ወዘፈቀደ ከንቲባ? አንተሥ እየደገፍክ ነው ወይሥ ዜና እያሠራጨኽ?,negative
@Abione_Bekele መልካም አርጋ ነው የተጫወተችው,positive
"ስንት ሰው በከንቱ አለመኖር ሰመኝ
እድሜ ያንቺ ፍቅር ለሚያለመልመኝ
እኔ ግን ደህና ነኝ
 
ኑረዲን ኢሳ",mixed
😇😇😇 ሁል ጊዜ በጌታ ደስ ይበላችሁ.. https://t.co/8BuuoSuXJM,positive
@ETHZema በአጠቃላይ ፖሊሲ አውጪዎችን ጨምሮ በኢትዮጲያ ያሉ ሙያን የሚፈልጉ የአገልግሎት ቦታዎች ላይ የሚገኙት ሰዎች 100% በፖለቲካዊ አስፈላጊነታቸው ብቻና ብቻ ነው። ኢትዮጲያ ለባለሙያዎቿ በሯእንደተዘጋ ነው። የተማረ የሰው ሀይል እጥረት ይላል ደሞ,neutral
"@AbiyAhmedAli ኢትዮጵያን በሰላም እና በወጣቶች ስራ አጥነት ምክንያት እጦት እየተሰቃየች መሪ ነኝ ባይ ግን  ልማት ከማምጣት ይልቅ መዝናናት እና ድግስ በማድረግ የህዝብ በጀት በግብዣ እያለቀ ነወ።
በዘንድሮ 2012 በ6ተ ወር ውስጥ 5.5 ቢሊዮን ብር ለድግስ ወጪ ሆነ።",neutral
@dawitesfaye የወለጋ ጉዳይ “አለባብሰው ቢያራሱ...” ዓይነት ነው። “በመንግሥት” እና በኦነግ መካከል የተረገው ድርድር ግልጽ አልነበረም። ሁለቱ አካላት መስማማት አልቻሉም። 300 ያህል የኦነግ ሠራዊት ካምፕ ገባ። ቀሪው በያለበት ምሽጉን ይዞ ማሸበር ጀመረ ...,neutral
"እንተዋወቃለን ወይ የሐበሻ ወንዶች ሐበሻ ሴቶችን ምን ያህል ያዉቃሉ

👉 https://t.co/1drydH7mgo",neutral
@isuchisu ለዚህ ንግግርህ ሺህ ጊዜ አሜን ብል አይደክመኝም። ለሁላችንም የምትመች ሁላችንንም እኩል የምታይ ሀገር በጋራ እንገነባለን።,positive
#Ethiopia : አሁን ላይ ከዳር ቆመን የምናይበት ጊዜ አይደለም ፡፡ከዳር ቆሞ ማየት መብትን አሳልፎ መስጠት ነው ፡፡ የኢዜማ መሪ  ብርሃኑ ነጋ (ፕሮፌሰር) ዛሬ እሁድ በነጋ ቦንገር ሆቴል የተናገሩት:: ስብሰባው እንደቅጠለ ነው:: https://t.co/0WNsTNkzl7,neutral
"@nafkotaschenaki ሴት ብሆን አይደለም ይሄን ""በሬ ወለደ"" ብልሽ ታምኚኝ ነበር...እድሌ ነው😜",negative
@yaredadu ከበቂ መረጃ በላይ አለ ነገር ግን ለእንዳንተ አይነቱ ሰው አብይ እራሱ ወጥቶእኔ ነኝ የገደልኩት ቢል ከማጨብጨብ ውጪ ምንም አታደርግም ወይም ምክንያት እየፈጠርክ የሱን ንፁነት ትሰብካለ ለሟች ቤተሰብ ደርሶ ተቆርቋሪ አትምሰል 🤷🏾‍♀️ https://t.co/ggx2H7rrQN,neutral
@colomentaI_ @NonnySavage እርግጠኛ መሆን እፈልጋለሁ እና እንደተለመደው ውሸት እየተናገሩ አይደለም,positive
"የአዋሽ ባንክ የባለአክሲዮኖች 24ኛ መደበኛና 16ኛ ድንገተኛ ጠቅላላ ጉባዔ ላይ ወሳኝ የሚባሉ ውሳኔዎቸ ተላልፏል::
በዚህ መሰረት:
--የባንኩ ካፒታል ከ6 ቢሊዮን ብር ወደ 12 ቢሊዮን ብር 
   ኢንድያድግ ተወስኗል::
--የቦርድ አባላት ምርጫም ተካሄዷል::",neutral
